Nome;Posizione

GimFIVE Pontedera;43.66768233203299, 10.602677215201766
GimFIVE Perugia Ellera;43.09730689664938, 12.312504252756742
GimFIVE Perugia Settevalli;43.08769865514485, 12.367382929443279
GimFIVE Modena Ovest;44.65500904551372, 10.879084558891039
GimFIVE Livorno San Marco;43.56102788522625, 10.31852552944328
GimFIVE Livorno Ardenza;43.50698198413711, 10.322513029443279
GimFIVE Grosseto Nord;42.79010745395859, 11.091284699995523
GimFIVE Foligno;42.97295784531336, 12.685091434965718
GimFIVE San Giovanni Persiceto;44.62551125653566, 11.196092673607062
GimFIVE Crevalcore;44.709434630715435, 11.14721747668206
GimFIVE Carpi;44.77604550999563, 10.884385099995525
GimFIVE Mirandola;44.8904931874139, 11.080843499995526
GimFIVE Fiorano Modenese;44.54892683893512, 10.819103058891036
GimFIVE Sassuolo;44.549467271738536, 10.796517699995524
GimFIVE Modena Centro;44.65602460839573, 10.925861988338795
GimFIVE Baggiovara;44.60479466129439, 10.86632914110001
GimFIVE Modena Est;44.62816155432213, 10.972952494488803
GimFIVE Vignola;44.49202729584271, 11.012289247234309